RecordID,Team,Seed
2025-26-Duke,Duke,1
2025-26-Arizona,Arizona,2
2025-26-Michigan,Michigan,3
2025-26-Florida,Florida,4
2025-26-Houston,Houston,5
2025-26-UConn,UConn,6
2025-26-Iowa St.,Iowa St.,7
2025-26-Purdue,Purdue,8
2025-26-Michigan St.,Michigan St.,9
2025-26-Illinois,Illinois,10
2025-26-Gonzaga,Gonzaga,11
2025-26-Virginia,Virginia,12
2025-26-Nebraska,Nebraska,13
2025-26-Alabama,Alabama,14
2025-26-Kansas,Kansas,15
2025-26-Arkansas,Arkansas,16
2025-26-Vanderbilt,Vanderbilt,17
2025-26-St. John's (NY),St. John's (NY),18
2025-26-Texas Tech,Texas Tech,19
2025-26-Wisconsin,Wisconsin,20
2025-26-Tennessee,Tennessee,21
2025-26-North Carolina,North Carolina,22
2025-26-Louisville,Louisville,23
2025-26-BYU,BYU,24
2025-26-Kentucky,Kentucky,25
2025-26-Saint Mary's (CA),Saint Mary's (CA),26
2025-26-Miami (FL),Miami (FL),27
2025-26-UCLA,UCLA,28
2025-26-Clemson,Clemson,29
2025-26-Villanova,Villanova,30
2025-26-Ohio St.,Ohio St.,31
2025-26-Georgia,Georgia,32
2025-26-Utah St.,Utah St.,33
2025-26-TCU,TCU,34
2025-26-Saint Louis,Saint Louis,35
2025-26-Iowa,Iowa,36
2025-26-Santa Clara,Santa Clara,37
2025-26-UCF,UCF,38
2025-26-Missouri,Missouri,39
2025-26-Texas A&M,Texas A&M,40
2025-26-NC State,NC State,41
2025-26-Texas,Texas,42
2025-26-SMU,SMU,43
2025-26-Miami (OH),Miami (OH),44
2025-26-VCU,VCU,45
2025-26-South Florida,South Florida,46
2025-26-McNeese,McNeese,47
2025-26-Akron,Akron,48
2025-26-UNI,UNI,49
2025-26-High Point,High Point,50
2025-26-California Baptist,California Baptist,51
2025-26-Hofstra,Hofstra,52
2025-26-Troy,Troy,53
2025-26-Hawaii,Hawaii,54
2025-26-North Dakota St.,North Dakota St.,55
2025-26-Penn,Penn,56
2025-26-Wright St.,Wright St.,57
2025-26-Kennesaw St.,Kennesaw St.,58
2025-26-Tennessee St.,Tennessee St.,59
2025-26-Idaho,Idaho,60
2025-26-Furman,Furman,61
2025-26-Queens (NC),Queens (NC),62
2025-26-Siena,Siena,63
2025-26-LIU,LIU,64
2025-26-Howard,Howard,65
2025-26-UMBC,UMBC,66
2025-26-Lehigh,Lehigh,67
2025-26-Prairie View,Prairie View,68
